skill	source_label	source_path	target_path
aihubmix-image-gen	h-t7-active	H:\T7\codex_skills\skills\aihubmix-image-gen	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\aihubmix-image-gen
backend-blueprint	h-t7-active	H:\T7\codex_skills\skills\backend-blueprint	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\backend-blueprint
case-archiver	h-t7-active	H:\T7\codex_skills\skills\case-archiver	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\case-archiver
case-router	h-t7-active	H:\T7\codex_skills\skills\case-router	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\case-router
dataset-profiler	h-t7-active	H:\T7\codex_skills\skills\dataset-profiler	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\dataset-profiler
dual-review	h-t7-active	H:\T7\codex_skills\skills\dual-review	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\dual-review
hikvision-codec-stage1	h-t7-active	H:\T7\codex_skills\skills\hikvision-codec-stage1	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\hikvision-codec-stage1
hk-intership	h-t7-active	H:\T7\codex_skills\skills\hk-intership	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\hk-intership
paper-digest	h-t7-active	H:\T7\codex_skills\skills\paper-digest	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\paper-digest
prompt-rewriter	h-t7-active	H:\T7\codex_skills\skills\prompt-rewriter	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\prompt-rewriter
server-observation-loop	h-t7-active	H:\T7\codex_skills\skills\server-observation-loop	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\server-observation-loop
ship-package	h-t7-active	H:\T7\codex_skills\skills\ship-package	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\ship-package
ui-trends-watcher	h-t7-active	H:\T7\codex_skills\skills\ui-trends-watcher	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\ui-trends-watcher
weixin-daily-push	h-t7-active	H:\T7\codex_skills\skills\weixin-daily-push	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\weixin-daily-push
wyatt-product-team	h-t7-active	H:\T7\codex_skills\skills\wyatt-product-team	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\wyatt-product-team
image-tech-md-rebuilder	personal-codex	C:\Users\18357\.codex\skills\image-tech-md-rebuilder	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\image-tech-md-rebuilder
jiangyu-word-report-style	personal-codex	C:\Users\18357\.codex\skills\jiangyu-word-report-style	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\jiangyu-word-report-style
mean-reviewer	personal-codex	C:\Users\18357\.codex\skills\mean-reviewer	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\mean-reviewer
neat-freak	personal-codex	C:\Users\18357\.codex\skills\neat-freak	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\neat-freak
nwafu-reference-list-md-docx	personal-codex	C:\Users\18357\.codex\skills\nwafu-reference-list-md-docx	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\nwafu-reference-list-md-docx
nwafu-thesis-writing	personal-codex	C:\Users\18357\.codex\skills\nwafu-thesis-writing	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\nwafu-thesis-writing
pptx	personal-codex	C:\Users\18357\.codex\skills\pptx	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\pptx
research-analysis-subagent	personal-codex	C:\Users\18357\.codex\skills\research-analysis-subagent	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\research-analysis-subagent
research-workflow	personal-codex	C:\Users\18357\.codex\skills\research-workflow	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\research-workflow
thesis-technical-route-drawio	personal-codex	C:\Users\18357\.codex\skills\thesis-technical-route-drawio	H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\thesis-technical-route-drawio
