skill	source_name	source_kind	source_path	target_path	sha256	copied_files
audio-screenshot-course-notes	audio-screenshot-course-notes	codex-user	/Users/jiangyu/.codex/skills/audio-screenshot-course-notes/SKILL.md	claude-skills/skills/audio-screenshot-course-notes/SKILL.md	4673f305f5e632a099b5dc3d61c8767f89998a7d9a5a858cf35d3c12debb85f7	2
bilibili-render-pdf	bilibili-render-pdf	codex-user	/Users/jiangyu/.codex/skills/bilibili-render-pdf/SKILL.md	claude-skills/skills/bilibili-render-pdf/SKILL.md	f8656d6d48703034687458c353a89be5834241bab697084884533a8c051521f8	2
brainstorming	brainstorming	codex-user	/Users/jiangyu/.codex/skills/brainstorming/SKILL.md	claude-skills/skills/brainstorming/SKILL.md	b9b0a777bbede76a37eab67e34e97efca474708b081cdd450d9febe1204db90f	10
browser	browser	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-bundled/browser/26.519.81530/skills/browser/SKILL.md	claude-skills/skills/browser/SKILL.md	9df7101d92c05d7db1bdc860368c9e814962437fa9d9471d796fe52cde672e93	1
canva-branded-presentation	canva-branded-presentation	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/canva/603a6e80/skills/canva-branded-presentation/SKILL.md	claude-skills/skills/canva-branded-presentation/SKILL.md	110b3ba5a50c22e804067363881c2384f07a32bd704af79b894e04138c915713	3
canva-resize-for-all-social-media	canva-resize-for-all-social-media	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/canva/603a6e80/skills/canva-resize-for-all-social-media/SKILL.md	claude-skills/skills/canva-resize-for-all-social-media/SKILL.md	ca36f9b6cc9e1913b762663d1f68f6caf20cb98923783b3dfcea4aebe6d09ce8	3
canva-translate-design	canva-translate-design	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/canva/603a6e80/skills/canva-translate-design/SKILL.md	claude-skills/skills/canva-translate-design/SKILL.md	950145361d04b50807954931549a4f40f8de945286cf304322c4d80a15493aac	3
chrome	chrome	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-bundled/chrome/26.519.81530/skills/chrome/SKILL.md	claude-skills/skills/chrome/SKILL.md	f5b6c2eb1a8e4e9f673e03a8d839dc46d73905d913bfdd4ce173e5214a34f4a2	1
chronicle	chronicle	codex-user	/Users/jiangyu/.codex/skills/chronicle/SKILL.md	claude-skills/skills/chronicle/SKILL.md	515a7de3ec6ef878521b9a87dc888fc24bb25d5b67e04b9c1850d448954e2a55	1
computer-use	computer-use	codex-bundled-temp	/Users/jiangyu/.codex/.tmp/bundled-marketplaces/openai-bundled/plugins/computer-use/skills/computer-use/SKILL.md	claude-skills/skills/computer-use/SKILL.md	e8c34dc8f9fb03d1af09b71547d607e717b04dac70d6ddc6b4ac941356604045	1
dispatching-parallel-agents	dispatching-parallel-agents	codex-user	/Users/jiangyu/.codex/skills/dispatching-parallel-agents/SKILL.md	claude-skills/skills/dispatching-parallel-agents/SKILL.md	c628917689ccc12ce9991615db6824d44c4fe71f8427cd959560aebe6a1a6476	1
documents	documents	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-primary-runtime/documents/26.521.10419/skills/documents/SKILL.md	claude-skills/skills/documents/SKILL.md	bbd8bfc8460e0510ee322f52a7cd12f4d6be074c28f224a8c1ea394cb979d4c9	75
executing-plans	executing-plans	codex-user	/Users/jiangyu/.codex/skills/executing-plans/SKILL.md	claude-skills/skills/executing-plans/SKILL.md	a711f83fb762e2ea0fa151f598893da9911a408895c91cc7a7e0770dd59a27b3	1
finishing-a-development-branch	finishing-a-development-branch	codex-user	/Users/jiangyu/.codex/skills/finishing-a-development-branch/SKILL.md	claude-skills/skills/finishing-a-development-branch/SKILL.md	dd2f82c6dc8582b621f9eb57fcb65f557f88eadf872727ac81d0840ae12c504e	1
gh-address-comments	gh-address-comments	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/github/603a6e80/skills/gh-address-comments/SKILL.md	claude-skills/skills/gh-address-comments/SKILL.md	c1ebc337357402f7faabafe712e0c463981a65f736453efe52abd305bcb74769	5
gh-fix-ci	gh-fix-ci	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/github/603a6e80/skills/gh-fix-ci/SKILL.md	claude-skills/skills/gh-fix-ci/SKILL.md	7621a3560d788fb221d25f9753233fe0c393c5cfe63167c88b11f027c277b1f8	5
github	github	codex-plugin-cache	/Users/jiangyu/.codex/plugins/cache/openai-curated/github/603a6e80/skills/github/SKILL.md	claude-skills/skills/github/SKILL.md	81dbdd90934fe86a79ddc4790fd211e5fca866302a74090ad153395f56f2bd42	3
hermes-wyatt-workflow	hermes-wyatt-workflow	codex-user	/Users/jiangyu/.codex/skills/hermes-wyatt-workflow/SKILL.md	claude-skills/skills/hermes-wyatt-workflow/SKILL.md	8cb1d01dc8c759f09e65c94ee921d5f2344afa6d90fc476574e061f9809c5e4c	1
image-tech-md-rebuilder	image-tech-md-rebuilder	codex-user	/Users/jiangyu/.codex/skills/image-tech-md-rebuilder/SKILL.md	claude-skills/skills/image-tech-md-rebuilder/SKILL.md	531c0989ce83246c4c9813735e7ed444474792db51c8568b26efe297abf1c1b5	2
jiangyu-word-report-style	jiangyu-word-report-style	codex-user	/Users/jiangyu/.codex/skills/jiangyu-word-report-style/SKILL.md	claude-skills/skills/jiangyu-word-report-style/SKILL.md	3ba26ba8aa0a5d2646d2fbf8342d57473a64469ab75cb568ddce24716ce53208	3
lark-approval	lark-approval	codex-user	/Users/jiangyu/.codex/skills/lark-approval/SKILL.md	claude-skills/skills/lark-approval/SKILL.md	962f66a3542fbbc623d6054f915f9eab4dfbfa12e5e248f017f8b39eb0272ea0	1
lark-attendance	lark-attendance	codex-user	/Users/jiangyu/.codex/skills/lark-attendance/SKILL.md	claude-skills/skills/lark-attendance/SKILL.md	a0ea5f3fa176496dda31d912f7e55ad7cfed5243b30567d16e7f9dc96eebbe8b	1
lark-base	lark-base	codex-user	/Users/jiangyu/.codex/skills/lark-base/SKILL.md	claude-skills/skills/lark-base/SKILL.md	497ef70d2fc570097b52f343c6ae09c2300f5f6bfe57b961974fd85e74fafb58	93
lark-calendar	lark-calendar	codex-user	/Users/jiangyu/.codex/skills/lark-calendar/SKILL.md	claude-skills/skills/lark-calendar/SKILL.md	1b45eab3d08454321d507e8e45b5c040afab7fb74fbd6ad5ce2fb1ef12736317	9
lark-contact	lark-contact	codex-user	/Users/jiangyu/.codex/skills/lark-contact/SKILL.md	claude-skills/skills/lark-contact/SKILL.md	01d652eaf7bae4829d3650a8cffc0e4f1ad060ca5a94166dedc46a535ad01ccd	3
lark-doc	lark-doc	codex-user	/Users/jiangyu/.codex/skills/lark-doc/SKILL.md	claude-skills/skills/lark-doc/SKILL.md	1ddef886defc1050c6830dfc672303b0dd67e9f6b2c1a233cef078c2a86172eb	14
lark-drive	lark-drive	codex-user	/Users/jiangyu/.codex/skills/lark-drive/SKILL.md	claude-skills/skills/lark-drive/SKILL.md	0f973d5d9f608867b82add183ee60255c1ae347bf43a1b35d02f0472f8aae19b	18
lark-event	lark-event	codex-user	/Users/jiangyu/.codex/skills/lark-event/SKILL.md	claude-skills/skills/lark-event/SKILL.md	eb15efa01cc308a6db0c3d4aef75d7c146cd7c197cbaf6cace760d010e92e50c	2
lark-im	lark-im	codex-user	/Users/jiangyu/.codex/skills/lark-im/SKILL.md	claude-skills/skills/lark-im/SKILL.md	37ac374326d63191af1e590c2243f3c1f6da78456d3e46eb6d6e796014934466	12
lark-mail	lark-mail	codex-user	/Users/jiangyu/.codex/skills/lark-mail/SKILL.md	claude-skills/skills/lark-mail/SKILL.md	374e761de3aa6e46341868492d8150203fb48b87d70b3d88a4e387ae9ac2e3d3	18
lark-markdown	lark-markdown	codex-user	/Users/jiangyu/.codex/skills/lark-markdown/SKILL.md	claude-skills/skills/lark-markdown/SKILL.md	778eaa245383c3848742537de73409308d0e6c192e2fdd440c914875605c5775	4
lark-minutes	lark-minutes	codex-user	/Users/jiangyu/.codex/skills/lark-minutes/SKILL.md	claude-skills/skills/lark-minutes/SKILL.md	564f8fee4b8a36a14c323c16d24f12c469cd7b36a2bd119a264e8ed37f2ced4b	4
lark-okr	lark-okr	codex-user	/Users/jiangyu/.codex/skills/lark-okr/SKILL.md	claude-skills/skills/lark-okr/SKILL.md	eb60b0922e324ed269a54e4c47904ad11b82139905b3d08d354a57a5e3e558f3	10
lark-openapi-explorer	lark-openapi-explorer	codex-user	/Users/jiangyu/.codex/skills/lark-openapi-explorer/SKILL.md	claude-skills/skills/lark-openapi-explorer/SKILL.md	ae89debc3f807f9947831b4525e1c118bc14544877c14c14aaa47298b1e863b4	1
lark-shared	lark-shared	codex-user	/Users/jiangyu/.codex/skills/lark-shared/SKILL.md	claude-skills/skills/lark-shared/SKILL.md	17189056e73b85f6dbd2a51c0513dfcbbaa8a8bdad68c81266fa14c2743b3cd1	1
lark-sheets	lark-sheets	codex-user	/Users/jiangyu/.codex/skills/lark-sheets/SKILL.md	claude-skills/skills/lark-sheets/SKILL.md	3738abcef808cd1f63020d58cdba035994dbde12cfac9268880776770d7adc82	11
lark-skill-maker	lark-skill-maker	codex-user	/Users/jiangyu/.codex/skills/lark-skill-maker/SKILL.md	claude-skills/skills/lark-skill-maker/SKILL.md	8591158289a3cb003c7ac18001ce6b42837c780d2567492cea87bf98982b3678	1
lark-slides	lark-slides	codex-user	/Users/jiangyu/.codex/skills/lark-slides/SKILL.md	claude-skills/skills/lark-slides/SKILL.md	bb3eb7d1e0229e7b1073e9224e014497466162825fea63e9079cb1ad6641992f	63
lark-task	lark-task	codex-user	/Users/jiangyu/.codex/skills/lark-task/SKILL.md	claude-skills/skills/lark-task/SKILL.md	bcdc029ccdd79637e5be46807dcd6a646769c5a19b011d4d768394577ab4399d	18
lark-vc	lark-vc	codex-user	/Users/jiangyu/.codex/skills/lark-vc/SKILL.md	claude-skills/skills/lark-vc/SKILL.md	ca6a7a611a8cd7d6b6267e3f1011ceaa4b37ceae19d048a72579d9d11556ab8b	4
lark-whiteboard	lark-whiteboard	codex-user	/Users/jiangyu/.codex/skills/lark-whiteboard/SKILL.md	claude-skills/skills/lark-whiteboard/SKILL.md	2aa47c1fe5a2743e1921fd76319906e3c1245a1faa9512d9eee93966f60bf8ad	28
lark-wiki	lark-wiki	codex-user	/Users/jiangyu/.codex/skills/lark-wiki/SKILL.md	claude-skills/skills/lark-wiki/SKILL.md	19a31339ee8fbe73e8b7d997733adbce9f9f037d29870c9a88ff88a35227525d	4
