skill	source_label	source_path	reason
aihubmix-image-gen	personal-codex	C:\Users\18357\.codex\skills\aihubmix-image-gen	duplicate of h-t7-active
backend-blueprint	personal-codex	C:\Users\18357\.codex\skills\backend-blueprint	duplicate of h-t7-active
case-archiver	personal-codex	C:\Users\18357\.codex\skills\case-archiver	duplicate of h-t7-active
case-router	personal-codex	C:\Users\18357\.codex\skills\case-router	duplicate of h-t7-active
dataset-profiler	personal-codex	C:\Users\18357\.codex\skills\dataset-profiler	duplicate of h-t7-active
dual-review	personal-codex	C:\Users\18357\.codex\skills\dual-review	duplicate of h-t7-active
hikvision-codec-stage1	personal-codex	C:\Users\18357\.codex\skills\hikvision-codec-stage1	duplicate of h-t7-active
hk-intership	personal-codex	C:\Users\18357\.codex\skills\hk-intership	duplicate of h-t7-active
paper-digest	personal-codex	C:\Users\18357\.codex\skills\paper-digest	duplicate of h-t7-active
prompt-rewriter	personal-codex	C:\Users\18357\.codex\skills\prompt-rewriter	duplicate of h-t7-active
server-observation-loop	personal-codex	C:\Users\18357\.codex\skills\server-observation-loop	duplicate of h-t7-active
ship-package	personal-codex	C:\Users\18357\.codex\skills\ship-package	duplicate of h-t7-active
ui-trends-watcher	personal-codex	C:\Users\18357\.codex\skills\ui-trends-watcher	duplicate of h-t7-active
weixin-daily-push	personal-codex	C:\Users\18357\.codex\skills\weixin-daily-push	duplicate of h-t7-active
wyatt-product-team	personal-codex	C:\Users\18357\.codex\skills\wyatt-product-team	duplicate of h-t7-active
