"Skill"	"Status"	"InstalledPath"	"LinkType"	"Target"
"aihubmix-image-gen"	"pass"	"C:\Users\18357\.claude\skills\aihubmix-image-gen"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\aihubmix-image-gen"
"backend-blueprint"	"pass"	"C:\Users\18357\.claude\skills\backend-blueprint"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\backend-blueprint"
"case-archiver"	"pass"	"C:\Users\18357\.claude\skills\case-archiver"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\case-archiver"
"case-router"	"pass"	"C:\Users\18357\.claude\skills\case-router"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\case-router"
"dataset-profiler"	"pass"	"C:\Users\18357\.claude\skills\dataset-profiler"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\dataset-profiler"
"dual-review"	"pass"	"C:\Users\18357\.claude\skills\dual-review"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\dual-review"
"hikvision-codec-stage1"	"pass"	"C:\Users\18357\.claude\skills\hikvision-codec-stage1"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\hikvision-codec-stage1"
"hk-intership"	"pass"	"C:\Users\18357\.claude\skills\hk-intership"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\hk-intership"
"image-tech-md-rebuilder"	"pass"	"C:\Users\18357\.claude\skills\image-tech-md-rebuilder"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\image-tech-md-rebuilder"
"jiangyu-word-report-style"	"pass"	"C:\Users\18357\.claude\skills\jiangyu-word-report-style"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\jiangyu-word-report-style"
"lark-approval"	"pass"	"C:\Users\18357\.claude\skills\lark-approval"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-approval"
"lark-attendance"	"pass"	"C:\Users\18357\.claude\skills\lark-attendance"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-attendance"
"lark-base"	"pass"	"C:\Users\18357\.claude\skills\lark-base"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-base"
"lark-calendar"	"pass"	"C:\Users\18357\.claude\skills\lark-calendar"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-calendar"
"lark-contact"	"pass"	"C:\Users\18357\.claude\skills\lark-contact"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-contact"
"lark-doc"	"pass"	"C:\Users\18357\.claude\skills\lark-doc"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-doc"
"lark-drive"	"pass"	"C:\Users\18357\.claude\skills\lark-drive"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-drive"
"lark-event"	"pass"	"C:\Users\18357\.claude\skills\lark-event"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-event"
"lark-im"	"pass"	"C:\Users\18357\.claude\skills\lark-im"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-im"
"lark-mail"	"pass"	"C:\Users\18357\.claude\skills\lark-mail"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-mail"
"lark-markdown"	"pass"	"C:\Users\18357\.claude\skills\lark-markdown"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-markdown"
"lark-minutes"	"pass"	"C:\Users\18357\.claude\skills\lark-minutes"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-minutes"
"lark-okr"	"pass"	"C:\Users\18357\.claude\skills\lark-okr"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-okr"
"lark-openapi-explorer"	"pass"	"C:\Users\18357\.claude\skills\lark-openapi-explorer"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-openapi-explorer"
"lark-shared"	"pass"	"C:\Users\18357\.claude\skills\lark-shared"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-shared"
"lark-sheets"	"pass"	"C:\Users\18357\.claude\skills\lark-sheets"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-sheets"
"lark-skill-maker"	"pass"	"C:\Users\18357\.claude\skills\lark-skill-maker"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-skill-maker"
"lark-slides"	"pass"	"C:\Users\18357\.claude\skills\lark-slides"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-slides"
"lark-task"	"pass"	"C:\Users\18357\.claude\skills\lark-task"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-task"
"lark-vc"	"pass"	"C:\Users\18357\.claude\skills\lark-vc"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-vc"
"lark-whiteboard"	"pass"	"C:\Users\18357\.claude\skills\lark-whiteboard"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-whiteboard"
"lark-wiki"	"pass"	"C:\Users\18357\.claude\skills\lark-wiki"	"Junction"	"H:\T7\codex_downloads\repos\WyattJY-claude-skills\skills\lark-wiki"
